time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y
131120009	583.5200	449.0260	283.2800	204.2040	283.2800	204.2040	318	229
131132013	581.3190	444.8400	279.9785	203.2524	279.9785	203.2524	321	232
131144007	581.3190	444.8400	279.9785	203.2524	279.9785	203.2524	324	234
131156002	581.3190	444.8400	279.9785	203.2524	279.9785	203.2524	328	237
131168015	581.3190	444.8400	279.9785	203.2524	279.9785	203.2524	331	239
131180014	580.3920	437.3400	278.5880	197.6060	278.5880	197.6060	334	241
131192012	580.3920	437.3400	278.5880	197.6060	278.5880	197.6060	338	244
131204007	580.3920	437.3400	278.5880	197.6060	278.5880	197.6060	341	246
131216001	580.3920	437.3400	278.5880	197.6060	278.5880	197.6060	344	249
131228015	580.3920	437.3400	278.5880	197.6060	278.5880	197.6060	348	251
131240011	580.4180	430.8540	278.6270	191.7686	278.6270	191.7686	351	253
131252003	580.4180	430.8540	278.6270	191.7686	278.6270	191.7686	354	256
131264016	580.4180	430.8540	278.6270	191.7686	278.6270	191.7686	358	258
131276009	580.4180	430.8540	278.6270	191.7686	278.6270	191.7686	361	260
131288004	580.4180	430.8540	278.6270	191.7686	278.6270	191.7686	364	262
131300013	578.8250	425.5230	276.2375	186.9707	276.2375	186.9707	368	265
131312011	578.8250	425.5230	276.2375	186.9707	276.2375	186.9707	371	267
131324005	578.8250	425.5230	276.2375	186.9707	276.2375	186.9707	374	269
131336000	578.8250	425.5230	276.2375	186.9707	276.2375	186.9707	378	272
131348013	578.8250	425.5230	276.2375	186.9707	276.2375	186.9707	381	274
131360010	575.7900	422.2600	271.6850	184.0340	271.6850	184.0340	384	276
131372009	575.7900	422.2600	271.6850	184.0340	271.6850	184.0340	388	278
131384005	575.7900	422.2600	271.6850	184.0340	271.6850	184.0340	391	280
131396018	575.7900	422.2600	271.6850	184.0340	271.6850	184.0340	394	283
131408011	575.7900	422.2600	271.6850	184.0340	271.6850	184.0340	397	285
131420008	573.8960	419.1280	268.8440	181.2152	268.8440	181.2152	401	287
131432001	573.8960	419.1280	268.8440	181.2152	268.8440	181.2152	404	289
131444014	573.8960	419.1280	268.8440	181.2152	268.8440	181.2152	407	291
131456007	573.8960	419.1280	268.8440	181.2152	268.8440	181.2152	410	294
131468002	573.8960	419.1280	268.8440	181.2152	268.8440	181.2152	414	296
131480011	570.4400	414.4970	263.6600	177.0473	263.6600	177.0473	417	298
131492009	570.4400	414.4970	263.6600	177.0473	263.6600	177.0473	420	300
131504003	570.4400	414.4970	263.6600	177.0473	263.6600	177.0473	423	302
131516016	570.4400	414.4970	263.6600	177.0473	263.6600	177.0473	426	304
131528010	570.4400	414.4970	263.6600	177.0473	263.6600	177.0473	429	306
131540016	568.3980	412.4100	260.5970	175.1690	260.5970	175.1690	433	308
131552008	568.3980	412.4100	260.5970	175.1690	260.5970	175.1690	436	311
131564003	568.3980	412.4100	260.5970	175.1690	260.5970	175.1690	439	313
131576016	568.3980	412.4100	260.5970	175.1690	260.5970	175.1690	442	315
131588000	564.6850	406.6100	255.0275	169.9490	255.0930	169.9490	445	317
131600014	564.6850	406.6100	255.0275	169.9490	255.0275	169.9490	448	319
131612007	564.6850	406.6100	255.0275	169.9490	255.0275	169.9490	451	321
131624002	564.6850	406.6100	255.0275	169.9490	255.0275	169.9490	454	323
131636015	564.6850	406.6100	255.0275	169.9490	255.0275	169.9490	457	325
131648003	560.8300	401.5810	249.2450	165.4229	249.2450	165.4229	460	327
131660013	560.8300	401.5810	249.2450	165.4229	249.2450	165.4229	463	329
131672006	560.8300	401.5810	249.2450	165.4229	249.2450	165.4229	466	331
131684001	560.8300	401.5810	249.2450	165.4229	249.2450	165.4229	469	333
131696014	560.8300	401.5810	249.2450	165.4229	249.2450	165.4229	472	335
